State,District,Season,Year,Crop,Area_Ha,Production_Ton,Yield_TonHa
Gujarat,Ahmadabad,Kharif,2015 - 2016,Arhar/Tur,1249.0,1535.0,1.23
Gujarat,Ahmadabad,Kharif,2015 - 2016,Bajra,755.0,882.0,1.17
Gujarat,Ahmadabad,Kharif,2015 - 2016,Castor seed,57920.0,86926.0,1.5
Gujarat,Ahmadabad,Kharif,2015 - 2016,Cotton(lint),131881.0,302016.0,2.29
Gujarat,Ahmadabad,Rabi,2015 - 2016,Gram,8087.0,5607.0,0.69
Gujarat,Ahmadabad,Kharif,2015 - 2016,Groundnut,131.0,188.0,1.44
Gujarat,Ahmadabad,Whole Year,2015 - 2016,Guar seed,5415.0,3348.0,0.62
Gujarat,Ahmadabad,Kharif,2015 - 2016,Moong(Green Gram),1589.0,803.0,0.51
Gujarat,Ahmadabad,Kharif,2015 - 2016,Moth,1660.0,1559.0,0.94
Gujarat,Ahmadabad,Kharif,2015 - 2016,Other Kharif pulses,765.0,328.0,0.43
Gujarat,Ahmadabad,Rabi,2015 - 2016,Rapeseed &Mustard,743.0,1080.0,1.45
Gujarat,Ahmadabad,Kharif,2015 - 2016,Rice,113930.0,287425.0,2.52
Gujarat,Ahmadabad,Kharif,2015 - 2016,Sesamum,1282.0,435.0,0.34
Gujarat,Ahmadabad,Kharif,2015 - 2016,Tobacco,5.0,10.0,2.0
Gujarat,Ahmadabad,Rabi,2015 - 2016,Tobacco,80.0,139.0,1.74
Gujarat,Ahmadabad,Kharif,2015 - 2016,Urad,120.0,72.0,0.6
Gujarat,Ahmadabad,Rabi,2015 - 2016,Wheat,114178.0,274549.0,2.4
Gujarat,Ahmadabad,Rabi,2015 - 2016,Onion,170.0,4578.0,26.93
Gujarat,Ahmadabad,Kharif,2015 - 2016,Soyabean,10.0,8.0,0.8
Gujarat,Ahmadabad,Kharif,2016 - 2017,Arhar/Tur,2346.0,2655.0,1.13
Gujarat,Ahmadabad,Kharif,2016 - 2017,Bajra,971.0,1983.0,2.04
Gujarat,Ahmadabad,Kharif,2016 - 2017,Castor seed,44369.0,71483.0,1.61
Gujarat,Ahmadabad,Kharif,2016 - 2017,Cotton(lint),106997.0,241209.0,2.25
Gujarat,Ahmadabad,Rabi,2016 - 2017,Gram,19625.0,13889.0,0.71
Gujarat,Ahmadabad,Kharif,2016 - 2017,Groundnut,78.0,128.0,1.64
Gujarat,Ahmadabad,Whole Year,2016 - 2017,Guar seed,5248.0,3499.0,0.67
Gujarat,Ahmadabad,Kharif,2016 - 2017,Moong(Green Gram),6470.0,2937.0,0.45
Gujarat,Ahmadabad,Kharif,2016 - 2017,Moth,6194.0,2535.0,0.41
Gujarat,Ahmadabad,Kharif,2016 - 2017,Other Kharif pulses,70.0,61.0,0.87
Gujarat,Ahmadabad,Rabi,2016 - 2017,Rapeseed &Mustard,514.0,910.0,1.77
Gujarat,Ahmadabad,Kharif,2016 - 2017,Rice,119870.0,311998.0,2.6
Gujarat,Ahmadabad,Kharif,2016 - 2017,Sesamum,1314.0,702.0,0.53
Gujarat,Ahmadabad,Kharif,2016 - 2017,Tobacco,80.0,157.0,1.96
Gujarat,Ahmadabad,Kharif,2016 - 2017,Urad,8724.0,5303.0,0.61
Gujarat,Ahmadabad,Rabi,2016 - 2017,Wheat,145858.0,327496.0,2.25
Gujarat,Ahmadabad,Whole Year,2016 - 2017,Potato,46.0,1180.0,25.65
Gujarat,Ahmadabad,Rabi,2016 - 2017,Onion,63.0,1641.0,26.05
Gujarat,Ahmadabad,Whole Year,2016 - 2017,Dry chillies,41.0,40.0,0.98
Gujarat,Ahmadabad,Whole Year,2016 - 2017,Garlic,32.0,164.0,5.13
Gujarat,Ahmadabad,Kharif,2016 - 2017,Maize,30.0,50.0,1.67
Gujarat,Ahmadabad,Kharif,2017 - 2018,Arhar/Tur,1823.0,2266.0,1.24
Gujarat,Ahmadabad,Kharif,2017 - 2018,Bajra,1243.0,2506.0,2.02
Gujarat,Ahmadabad,Kharif,2017 - 2018,Castor seed,49915.0,90783.0,1.82
Gujarat,Ahmadabad,Kharif,2017 - 2018,Cotton(lint),105422.0,276885.0,2.63
Gujarat,Ahmadabad,Rabi,2017 - 2018,Gram,42968.0,44682.0,1.04
Gujarat,Ahmadabad,Kharif,2017 - 2018,Groundnut,104.0,254.0,2.44
Gujarat,Ahmadabad,Whole Year,2017 - 2018,Guar seed,5154.0,3428.0,0.67
Gujarat,Ahmadabad,Kharif,2017 - 2018,Moong(Green Gram),3910.0,2221.0,0.57
Gujarat,Ahmadabad,Kharif,2017 - 2018,Moth,7038.0,5103.0,0.73
Gujarat,Ahmadabad,Kharif,2017 - 2018,Other Kharif pulses,15.0,13.0,0.87
Gujarat,Ahmadabad,Rabi,2017 - 2018,Rapeseed &Mustard,474.0,857.0,1.81
Gujarat,Ahmadabad,Kharif,2017 - 2018,Rice,117955.0,253359.0,2.15
Gujarat,Ahmadabad,Kharif,2017 - 2018,Sesamum,894.0,403.0,0.45
Gujarat,Ahmadabad,Rabi,2017 - 2018,Tobacco,113.0,394.0,3.49
Gujarat,Ahmadabad,Kharif,2017 - 2018,Urad,9538.0,6057.0,0.64
Gujarat,Ahmadabad,Rabi,2017 - 2018,Wheat,149384.0,322047.0,2.16
Gujarat,Ahmadabad,Rabi,2017 - 2018,Other Rabi pulses,20.0,16.0,0.8
Gujarat,Ahmadabad,Whole Year,2017 - 2018,Potato,52.0,1439.0,27.67
Gujarat,Ahmadabad,Rabi,2017 - 2018,Onion,120.0,3441.0,28.68
Gujarat,Ahmadabad,Kharif,2017 - 2018,Soyabean,2.0,2.0,1.0
Gujarat,Ahmadabad,Whole Year,2017 - 2018,Garlic,10.0,70.0,7.0
Gujarat,Ahmadabad,Rabi,2017 - 2018,Maize,1001.0,2278.0,2.28
Gujarat,Ahmadabad,Rabi,2017 - 2018,Jowar,407.0,538.0,1.32
Gujarat,Ahmadabad,Kharif,2018 - 2019,Arhar/Tur,1218.0,1472.0,1.21
Gujarat,Ahmadabad,Kharif,2018 - 2019,Bajra,1154.0,1528.0,1.32
Gujarat,Ahmadabad,Kharif,2018 - 2019,Castor seed,54716.0,101379.0,1.85
Gujarat,Ahmadabad,Kharif,2018 - 2019,Cotton(lint),103200.0,179965.0,1.74
Gujarat,Ahmadabad,Rabi,2018 - 2019,Gram,37344.0,27278.0,0.73
