State,District,Latitude,Longitude
Gujarat,Kheda,22.894619942500015,73.0468286542155
Gujarat,Mahesana,23.56433963800012,72.39027187413313
Gujarat,Mahisagar,23.217414856500056,73.84418555842893
Gujarat,Morbi,22.790287018500123,70.90364965183576
Gujarat,Narmada,21.689889908500163,73.69805820893157
Gujarat,Navsari,20.82576656300003,73.04025592180209
Gujarat,Panch Mahals,22.696715354500157,73.54182844458377
Gujarat,Patan,23.768639565000143,71.75253475100831
Gujarat,Porbandar,21.587506459500077,69.88026976973802
Gujarat,Rajkot,22.085959434500126,71.04064434473273
Gujarat,Sabar Kantha,23.865741730500105,73.01851774343739
Gujarat,Surat,21.190278052500105,72.95560917220291
Gujarat,Surendranagar,22.823599815000136,71.63171812958302
Gujarat,Tapi,21.18919467900014,73.56347826222196
Gujarat,The Dangs,20.78613185950013,73.71721224202074
Gujarat,Vadodara,22.317820549500112,73.31090080563342
Gujarat,Valsad,20.433571495000052,73.15065870754384
Haryana,Ambala,30.381795883000137,77.09100462692031
Haryana,Bhiwani,28.735650063000122,75.95867290718556
Haryana,Faridabad,28.33597564750005,77.30289678455564
Haryana,Fatehabad,29.539295196000097,75.56517894462294
Haryana,Gurgaon,28.373007774000115,76.89841323816908
Haryana,Hisar,29.243180275500066,75.80878317288096
Haryana,Jhajjar,28.59633064350004,76.64087413760197
Haryana,Jind,29.453435898000066,76.36260662089543
Haryana,Kaithal,29.860766411000014,76.45577384905293
Haryana,Karnal,29.721020699000064,76.91025861128936
Haryana,Kurukshetra,30.05698490150013,76.80236369454879
Haryana,Mahendragarh,28.140460014500036,76.16258644921598
Haryana,Mewat,27.99629497600003,76.99368828084727
Haryana,Palwal,28.066870689500064,77.38348352060336
Haryana,Panchkula,30.72858524300011,76.964709431723
Haryana,Panipat,29.33358573950008,76.89111459350934
Haryana,Rewari,28.201615334000053,76.55242038875288
Haryana,Rohtak,28.901310920500094,76.55023008860738
Haryana,Sirsa,29.610480308500087,74.89499159378573
Haryana,Sonipat,29.05620670300013,76.89532741604904
Haryana,Yamunanagar,30.25618553200019,77.31951812278999
Himachal Pradesh,Bilaspur,31.407560349000164,76.62570198594733
Himachal Pradesh,Chamba,32.696285248000095,76.15561255097694
Himachal Pradesh,Hamirpur,31.65733051300012,76.52469382686849
Himachal Pradesh,Kangra,32.07942581250015,76.25414821414525
Himachal Pradesh,Kinnaur,31.585609436500107,78.31499732686493
Himachal Pradesh,Kinnaur,31.987363081000098,78.72132177729071
Himachal Pradesh,Kinnaur,31.366915704500087,78.79212491685249
Himachal Pradesh,Kullu,31.87858009350009,77.43511094528537
Himachal Pradesh,Lahul & Spiti,32.504276275500104,77.567106680523
Himachal Pradesh,Lahul & Spiti,32.16007995850006,78.5293149487692
Himachal Pradesh,Mandi,31.645195007000183,76.99531611282603
Himachal Pradesh,Shimla,31.243651389500116,77.69847451119767
Himachal Pradesh,Sirmaur,30.70605468750017,77.43279354086806
Himachal Pradesh,Solan,31.063334465500134,76.8380502324332
Himachal Pradesh,Una,31.58688068450013,76.22202803027184
Jammu and Kashmir,Anantnag,33.80340957700011,75.29026732941213
Jammu and Kashmir,Badgam,33.89562606900006,74.6120548648199
Jammu and Kashmir,Bandipore,34.53332710300009,74.94336163433226
Jammu and Kashmir,Baramulla,34.20508384700011,74.30198131219734
Jammu and Kashmir,Doda,33.15035438550012,75.53871498297698
Jammu and Kashmir,Ganderbal,34.31008148300012,75.07612221720893
Jammu and Kashmir,Jammu,32.770378113500044,74.81850210543229
